어휘,뜻풀이
그지,거지
눈두데기,눈두덩
목하,목화
목하쇵이,목화송이
발뒤끔치,발뒤꿈치
베씨,볍씨
얘,예
어째튼,어쨌든
옴지손구락,엄지손가락
원생이,원숭이
춘설,추녀
가갓방,가겟방
가겟방이,가겟방
가고,바구니
가구웂다,쓸데없다
가그매,까마귀
가금,가늠
가까수로,가까스로
가껌,가끔
가껍다,가깝다
가꼬다,가꾸다
가날다,가늘다
가날푸다,가냘프다
가냘쁘다,가냘프다
가누다,가루다
가느다란하다,가느다랗다
가느달하다,가느다랗다
가느랑비,가랑비
가느랭비,가랑비
가느스럽다,가느스름하다
가는딩기,등겨
가는비,가랑비
가늘다란하다,가느다랗다
가다루다,길들이다
가닥지,됨됨이
가도토리,상수리
가둥치다,간추리다
가라마,가르마
가라이,가랑이
가락,"기름하게 생긴 연장을 세는 단위. 흔히 낫이나 삽, 부엌칼 따위를 셀 때 쓴다"
가락,자루
가락홀태,벼훑이
가람배,가르마
가랑,논두렁
가랑입새,가랑잎
가래때,가래톳
가래이,가랑이
가래쟁이,가랑이
가래추자,가래
가래호두,가래
가랫덕,가래톳
가랫덧,가래톳
가랫장치,가랫장부
가랭비,가랑비
가럅다,가렵다
가량,가늠
가러고치다,가로거치다
가럽다,가렵다
가려웁다,가렵다
가로거치다,걸리적거리다
가루다,가르다
가루마,가르마
가루치다,체질하다
가룸마,가르마
가룻비누,가루비누
가르끼다,가르치다
가르매,가르마
가르쟁이,가랑이
가르체다,가르치다
가름,가르마
가름마,가르마
가름매,가르마
가름바,가르마
가름배,가르마
가름자,가르마
가리,솔가리
가리다,가르다
가리때,가래톳
가리매,가르마
가림마,가르마
가림매,가르마
가림배,가르마
가립다,가렵다
가마떼기,가마니때기
가마솟,가마솥
가마솣,가마솥
가마이,가만히
가마잽이,가마꾼
가마질꾼,가마꾼
가마히,가만히
가맛박적,가맛바가지
가망대이루,가만히
가망대이루,몰래
가망동으루,가만히
가망동으루,몰래
가망쩔애,가만히
가망쩔애,몰래
가매,가마
가매솥,가마솥
가매쪽박,가맛바가지
가머리,감
가무름,가뭄
가무테손구락,가운뎃손가락
가문,가면
가므름,가뭄
가믐,가뭄<DR /> 제주 지역에서는 믐’으로도 적는다.
가법다,가볍다
가보윷,밤윷
가보진데,진드기
가봅다,가볍다
가부진데,진드기
가부진디,진드기
가부진지,진드기
가붑다,가볍다
가빠르다,가파르다
가뿍,흠뻑
가사,가위
가상서리,가장자리
가상이,가
가상짜리,가장자리
가새,가위
가새보리,잎이 두세 장 정도 나서 가위 모양을 하고 있는 보리
가새이,가
가샛밥,가윗밥
가생사리,가장자리
가생이,가
가생이,개
가성,가
가세,가위<DR /> 제주 지역에서는 세’로도 적는다.
가쇠,가위
가스나이,계집아이
가스래기,생채
가슴빼기,가슴패기
가시,가
가시게,가위
가시덤풀,가시덤불
가시여,두름
가시여,두름
가실,가을<DR /> 제주 지역에서는 실’로도 적는다.
가실질하다,가을일하다
가실하다,가을하다
가싥,가을
가심,가슴
가얎다,가엾다
가얭이,가장자리
가없다,가엾다
가에,가위
가오,가위
가온테,가운데
가욥다,가엾다
가용돈,가용
가용푼,집안 살림이나 생활을 하는 데 드는 얼마 되지 않는 돈
가우,가위
가우이,가위
가운데손고락,가운뎃손가락
가운데손구락,가운뎃손가락
가운뎃손꼬락,가운뎃손가락
가운디,가운데
가운테,가운데
가울,가을<DR /> 제주 지역에서는 울’로도 적는다.
가울걷다,가을하다
가욹,가을
가웨,가위
가위보리,잎이 두세 장 정도 나서 가위 모양을 하고 있는 보리
가을거더들이다,가을하다
가을거두다,가을하다
가을거둠하다,가을하다
가을거시,가을걷이
가이,가
가이,가위
가장사리,가장자리
가재이,가지
가쟁이,가지
가쟁이접,가지접
가쟁자리,가장자리
가조다,가져오다
가주가다,가져가다
가주럼하다,가지런하다
가주오다,가져오다
가주쟁이,가랑이
가즈런하다,가지런하다
가증,가정
가지고스래기,가지말랭이
가지고오다,가져오다
가지고재기,가지말랭이
가지고지,가지말랭이
가지래이,가지
가지랭이,가랑이
가지런히하다,가지런하다
가지풀,강아지풀
가진하다,가지런하다
가쩐하다,거뜬하다
가차웁다,가깝다
가착다,가깝다
가찹다,가깝다<DR /> 제주 지역에서는 찹다’로도 적는다.
가첩다,가깝다
가치,까치
가친,갖신
가키,갈퀴
가터다,같다
가토리,까투리
가트다,같다<DR /> 제주 지역에서는 트다’로도 적는다.
가트림,트림
가팔다,가파르다
가팔르다,가파르다
가팔지다,비탈지다
가프다,갚다
각중에,갑자기
각중이,갑자기
각지,갈퀴
간다리,치어
간발,감발
간자놀이,관자놀이
간자머리,관자놀이
간절이다,절이다
간조롬하다,가지런하다
간졸이,가지런히
간주렁이,가지런히
간지꺼리다,간질이다
간지랍다,간지럽다
간지럼멕이다,간질이다
간지럼치다,간질이다
간지럼피다,간질이다
간지름치다,간질이다
간지리다,간질이다
간질르다,간질이다
간초롬하다,가지런하다
간테,가운데
갈가리,피라미
갈가마귀,갈까마귀
갈가마기,갈까마귀
갈감자,고구마
갈강비,가랑비
갈개둑,논둑
갈갯머리,말갈기
갈거더들이다,가을하다
갈거더딜이다,가을하다
갈거두다,가을하다
갈거둠하다,가을하다
갈거둠허다,가을하다
갈겁다,가렵다
갈게,갈기
갈겟머리,갈기
갈고라이,갈고랑이
갈고래이,갈고랑이
